"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","E00016315","E00016315","Total",194,0,49,83,43,12,7
"2011","E00016317","E00016317","Total",119,0,16,48,33,21,1
"2011","E00016320","E00016320","Total",122,0,21,60,29,8,4
"2011","E00016779","E00016779","Total",88,0,14,18,42,9,5
"2011","E00016789","E00016789","Total",144,0,6,36,64,31,7
"2011","E00016797","E00016797","Total",144,0,12,21,80,28,3
"2011","E00016798","E00016798","Total",152,0,31,75,30,8,8
"2011","E00016821","E00016821","Total",160,2,29,73,26,24,6
"2011","E00016780","E00016780","Total",156,3,78,60,9,2,4
"2011","E00016782","E00016782","Total",174,2,63,63,23,8,15
"2011","E00016790","E00016790","Total",91,1,62,20,8,0,0
"2011","E00016792","E00016792","Total",170,0,97,62,6,5,0
"2011","E00016795","E00016795","Total",114,0,30,32,42,6,4
"2011","E00016783","E00016783","Total",154,0,48,45,49,10,2
"2011","E00016802","E00016802","Total",161,0,46,55,37,17,6
"2011","E00016807","E00016807","Total",194,2,65,69,31,20,7
"2011","E00016809","E00016809","Total",157,0,54,66,30,4,3
"2011","E00016810","E00016810","Total",144,1,36,36,46,16,9
"2011","E00016784","E00016784","Total",123,0,36,33,37,13,4
"2011","E00016811","E00016811","Total",134,0,46,28,39,13,8
"2011","E00016812","E00016812","Total",117,0,16,32,56,12,1
"2011","E00016816","E00016816","Total",104,0,22,34,38,6,4
"2011","E00016817","E00016817","Total",115,1,11,42,47,8,6
"2011","E00016785","E00016785","Total",110,1,66,15,13,12,3
"2011","E00016786","E00016786","Total",98,0,6,46,41,3,2
"2011","E00016787","E00016787","Total",274,7,200,64,2,0,1
"2011","E00016822","E00016822","Total",129,2,21,79,22,3,2
"2011","E00016824","E00016824","Total",102,1,14,33,46,7,1
"2011","E00016445","E00016445","Total",128,1,21,60,24,15,7
"2011","E00016448","E00016448","Total",124,0,1,14,55,45,9
"2011","E00016452","E00016452","Total",118,0,5,33,30,33,17
"2011","E00016454","E00016454","Total",119,0,32,18,48,14,7
"2011","E00016455","E00016455","Total",113,0,17,51,23,18,4
"2011","E00016446","E00016446","Total",167,2,56,66,40,2,1
"2011","E00016453","E00016453","Total",120,1,40,64,7,5,3
"2011","E00016456","E00016456","Total",128,1,32,58,17,9,11
"2011","E00016457","E00016457","Total",135,1,60,47,17,9,1
"2011","E00016462","E00016462","Total",149,0,54,46,16,32,1
"2011","E00173944","E00173944","Total",131,2,48,51,28,1,1
"2011","E00173945","E00173945","Total",134,1,72,45,14,1,1
"2011","E00016444","E00016444","Total",111,1,21,21,32,9,27
"2011","E00016484","E00016484","Total",136,0,11,29,42,26,28
"2011","E00016485","E00016485","Total",117,2,39,35,40,1,0
"2011","E00016488","E00016488","Total",113,0,2,11,66,20,14
"2011","E00016489","E00016489","Total",204,0,23,99,52,22,8
"2011","E00016443","E00016443","Total",129,0,11,20,63,21,14
"2011","E00016483","E00016483","Total",110,0,34,39,21,9,7
"2011","E00016486","E00016486","Total",137,0,7,37,46,32,15
"2011","E00016487","E00016487","Total",123,0,49,13,46,11,4
"2011","E00016491","E00016491","Total",120,0,28,63,13,3,13
"2011","E00016449","E00016449","Total",127,0,29,65,20,9,4
"2011","E00016450","E00016450","Total",122,0,54,43,10,9,6
"2011","E00016451","E00016451","Total",129,0,30,31,35,23,10
"2011","E00016490","E00016490","Total",131,0,22,59,35,11,4
"2011","E00016492","E00016492","Total",115,0,27,40,34,12,2
"2011","E00016281","E00016281","Total",135,0,6,32,77,18,2
"2011","E00016290","E00016290","Total",122,0,2,19,87,10,4
"2011","E00016292","E00016292","Total",107,0,4,30,68,4,1
"2011","E00016293","E00016293","Total",123,0,14,7,86,13,3
"2011","E00016295","E00016295","Total",135,0,2,28,94,10,1
"2011","E00016258","E00016258","Total",132,1,7,6,92,22,4
"2011","E00016259","E00016259","Total",130,0,24,29,42,31,4
"2011","E00016298","E00016298","Total",139,0,2,10,98,19,10
"2011","E00016299","E00016299","Total",138,0,5,6,106,15,6
"2011","E00016274","E00016274","Total",116,0,22,19,56,19,0
"2011","E00016276","E00016276","Total",150,1,42,47,35,12,13
"2011","E00016277","E00016277","Total",124,1,30,36,14,29,14
"2011","E00016278","E00016278","Total",104,0,19,17,46,14,8
"2011","E00016285","E00016285","Total",110,0,25,34,24,15,12
"2011","E00016256","E00016256","Total",121,1,17,20,50,28,5
"2011","E00016284","E00016284","Total",114,2,22,22,38,24,6
"2011","E00016286","E00016286","Total",136,2,8,11,89,23,3
"2011","E00016296","E00016296","Total",120,0,25,26,11,45,13
"2011","E00016297","E00016297","Total",138,0,35,38,24,40,1
"2011","E00016275","E00016275","Total",159,0,44,57,31,26,1
"2011","E00016279","E00016279","Total",112,0,11,12,66,16,7
"2011","E00016280","E00016280","Total",102,0,5,8,68,17,4
"2011","E00016283","E00016283","Total",135,1,7,31,80,11,5
"2011","E00016287","E00016287","Total",118,0,1,16,91,8,2
"2011","E00016513","E00016513","Total",131,1,12,54,55,8,1
"2011","E00016514","E00016514","Total",125,1,46,38,36,2,2
"2011","E00016515","E00016515","Total",129,0,18,42,40,19,10
"2011","E00016516","E00016516","Total",111,1,6,58,41,4,1
"2011","E00016519","E00016519","Total",112,0,19,39,44,7,3
"2011","E00016521","E00016521","Total",131,0,28,89,13,0,1
"2011","E00016493","E00016493","Total",161,1,63,62,22,7,6
"2011","E00016499","E00016499","Total",119,0,16,30,57,13,3
"2011","E00016502","E00016502","Total",107,0,16,32,51,5,3
"2011","E00016503","E00016503","Total",109,1,61,40,7,0,0
"2011","E00016507","E00016507","Total",103,0,5,40,55,2,1
"2011","E00016540","E00016540","Total",119,0,4,11,92,10,2
"2011","E00016498","E00016498","Total",227,0,38,37,125,24,3
"2011","E00016500","E00016500","Total",127,2,6,90,6,20,3
"2011","E00016505","E00016505","Total",156,0,30,101,24,0,1
"2011","E00016541","E00016541","Total",137,0,4,14,81,30,8
"2011","E00016494","E00016494","Total",156,0,64,46,34,7,5
"2011","E00016495","E00016495","Total",109,0,31,61,15,1,1
"2011","E00016501","E00016501","Total",149,0,3,14,99,31,2
"2011","E00016508","E00016508","Total",139,0,12,18,90,16,3
"2011","E00016511","E00016511","Total",125,0,1,10,96,14,4
"2011","E00016504","E00016504","Total",115,0,0,18,41,44,12
"2011","E00016506","E00016506","Total",133,0,0,17,102,11,3
"2011","E00016509","E00016509","Total",158,1,3,30,86,27,11
"2011","E00016510","E00016510","Total",107,1,1,5,89,8,3
"2011","E00016512","E00016512","Total",124,0,3,34,52,27,8
"2011","E00016750","E00016750","Total",116,3,23,47,26,13,4
"2011","E00016752","E00016752","Total",130,1,1,10,98,15,5
"2011","E00016753","E00016753","Total",108,1,7,55,39,5,1
"2011","E00016758","E00016758","Total",141,3,44,56,13,19,6
"2011","E00016763","E00016763","Total",132,0,20,29,72,8,3
"2011","E00016738","E00016738","Total",172,0,61,43,45,18,5
"2011","E00016739","E00016739","Total",119,0,13,47,28,25,6
"2011","E00016740","E00016740","Total",140,2,27,44,38,21,8
"2011","E00016749","E00016749","Total",127,2,14,67,21,13,10
"2011","E00016755","E00016755","Total",176,0,63,54,42,8,9
"2011","E00016745","E00016745","Total",160,0,23,83,35,13,6
"2011","E00016746","E00016746","Total",148,0,32,57,31,26,2
"2011","E00016751","E00016751","Total",127,1,36,39,20,20,11
"2011","E00016754","E00016754","Total",131,0,19,48,51,7,6
"2011","E00016757","E00016757","Total",117,2,16,46,39,7,7
"2011","E00016732","E00016732","Total",165,1,69,61,19,6,9
"2011","E00016735","E00016735","Total",152,1,32,57,39,18,5
"2011","E00016741","E00016741","Total",132,0,38,44,35,14,1
"2011","E00016742","E00016742","Total",150,1,44,71,26,8,0
"2011","E00016733","E00016733","Total",130,0,13,44,50,20,3
"2011","E00016734","E00016734","Total",118,0,9,66,38,4,1
"2011","E00016743","E00016743","Total",117,0,8,42,42,18,7
"2011","E00016744","E00016744","Total",130,1,17,35,40,29,8
"2011","E00016747","E00016747","Total",114,0,36,52,17,4,5
"2011","E00016261","E00016261","Total",119,3,20,26,27,31,12
"2011","E00016282","E00016282","Total",145,1,46,45,14,17,22
"2011","E00016288","E00016288","Total",179,3,52,59,35,26,4
"2011","E00016289","E00016289","Total",125,2,30,30,23,27,13
"2011","E00016294","E00016294","Total",121,1,21,19,15,49,16
"2011","E00016260","E00016260","Total",139,1,15,12,89,19,3
"2011","E00016262","E00016262","Total",110,0,35,13,50,9,3
"2011","E00016266","E00016266","Total",132,0,13,13,90,13,3
"2011","E00016267","E00016267","Total",102,0,7,14,57,19,5
"2011","E00016271","E00016271","Total",148,0,9,36,69,27,7
"2011","E00016257","E00016257","Total",147,0,26,39,21,18,43
"2011","E00016263","E00016263","Total",99,0,29,18,8,28,16
"2011","E00016265","E00016265","Total",186,0,35,78,36,31,6
"2011","E00016268","E00016268","Total",170,0,33,39,37,49,12
"2011","E00016291","E00016291","Total",167,1,60,59,20,15,12
"2011","E00016264","E00016264","Total",115,0,4,16,40,47,8
"2011","E00016269","E00016269","Total",125,0,8,15,77,16,9
"2011","E00016270","E00016270","Total",100,0,5,4,53,31,7
"2011","E00016272","E00016272","Total",131,1,14,27,56,22,11
"2011","E00016273","E00016273","Total",132,1,12,21,33,47,18
"2011","E00016930","E00016930","Total",216,2,6,42,146,17,3
"2011","E00016946","E00016946","Total",149,0,3,23,118,5,0
"2011","E00016952","E00016952","Total",119,0,52,7,57,1,2
"2011","E00016964","E00016964","Total",114,1,18,43,49,1,2
"2011","E00016929","E00016929","Total",111,0,4,63,41,3,0
"2011","E00016931","E00016931","Total",103,2,4,55,36,2,4
"2011","E00016932","E00016932","Total",110,0,15,40,53,0,2
"2011","E00016954","E00016954","Total",93,1,1,60,28,3,0
"2011","E00016961","E00016961","Total",124,0,11,67,39,2,5
"2011","E00016933","E00016933","Total",168,0,1,37,123,4,3
"2011","E00016953","E00016953","Total",130,0,52,46,31,0,1
"2011","E00016957","E00016957","Total",110,0,4,60,45,1,0
"2011","E00016960","E00016960","Total",107,1,25,52,28,1,0
"2011","E00016966","E00016966","Total",77,0,3,31,40,3,0
"2011","E00016940","E00016940","Total",101,0,4,32,59,5,1
"2011","E00016941","E00016941","Total",134,0,5,7,101,17,4
"2011","E00016942","E00016942","Total",118,1,35,22,49,4,7
"2011","E00016943","E00016943","Total",123,1,80,32,9,1,0
"2011","E00016944","E00016944","Total",118,0,6,17,81,11,3
"2011","E00016945","E00016945","Total",107,1,47,55,4,0,0
"2011","E00016728","E00016728","Total",113,2,39,24,41,4,3
"2011","E00016764","E00016764","Total",110,1,15,27,48,6,13
"2011","E00016766","E00016766","Total",139,6,35,13,63,17,5
"2011","E00016768","E00016768","Total",143,3,69,52,10,9,0
"2011","E00016772","E00016772","Total",140,1,15,40,62,20,2
"2011","E00016737","E00016737","Total",113,0,34,36,18,16,9
"2011","E00016748","E00016748","Total",132,1,54,54,15,6,2
"2011","E00016756","E00016756","Total",115,0,19,53,30,13,0
"2011","E00016760","E00016760","Total",145,2,40,73,24,6,0
"2011","E00173704","E00173704","Total",112,1,46,31,27,5,2
"2011","E00173705","E00173705","Total",66,0,22,33,6,2,3
"2011","E00173707","E00173707","Total",73,0,43,29,1,0,0
"2011","E00016729","E00016729","Total",107,1,11,24,27,27,17
"2011","E00016730","E00016730","Total",131,1,16,13,83,15,3
"2011","E00016759","E00016759","Total",130,0,18,18,74,16,4
"2011","E00016761","E00016761","Total",121,0,1,24,78,16,2
"2011","E00016762","E00016762","Total",116,0,17,18,68,7,6
"2011","E00016765","E00016765","Total",109,1,49,13,24,17,5
"2011","E00016767","E00016767","Total",130,0,39,43,27,11,10
"2011","E00016770","E00016770","Total",95,3,60,26,6,0,0
"2011","E00016771","E00016771","Total",167,0,29,72,29,29,8
"2011","E00016774","E00016774","Total",132,0,6,13,95,17,1
"2011","E00016777","E00016777","Total",146,2,8,51,48,25,12
"2011","E00016731","E00016731","Total",135,0,15,66,39,11,4
"2011","E00016769","E00016769","Total",153,7,34,54,42,15,1
"2011","E00016773","E00016773","Total",122,1,27,75,11,3,5
"2011","E00016775","E00016775","Total",111,0,20,67,20,4,0
"2011","E00016776","E00016776","Total",149,0,48,37,37,25,2
"2011","E00016460","E00016460","Total",135,0,14,36,55,22,8
"2011","E00016463","E00016463","Total",230,2,91,96,36,2,3
"2011","E00016467","E00016467","Total",137,0,17,31,67,16,6
"2011","E00016469","E00016469","Total",141,1,24,74,31,8,3
"2011","E00016471","E00016471","Total",101,3,34,56,4,3,1
"2011","E00016472","E00016472","Total",187,0,94,66,23,1,3
"2011","E00016447","E00016447","Total",135,0,29,67,26,9,4
"2011","E00016458","E00016458","Total",146,0,30,70,33,12,1
"2011","E00016459","E00016459","Total",98,0,2,35,29,32,0
"2011","E00016464","E00016464","Total",119,1,22,54,37,5,0
"2011","E00016465","E00016465","Total",121,2,56,20,37,6,0
"2011","E00016466","E00016466","Total",116,1,11,29,33,28,14
"2011","E00016475","E00016475","Total",86,2,22,27,25,9,1
"2011","E00016476","E00016476","Total",108,0,14,38,49,7,0
"2011","E00016478","E00016478","Total",83,0,10,39,32,2,0
"2011","E00016479","E00016479","Total",96,1,15,49,24,7,0
"2011","E00016480","E00016480","Total",114,2,35,46,25,6,0
"2011","E00016482","E00016482","Total",107,0,9,59,37,1,1
"2011","E00016468","E00016468","Total",94,0,14,24,39,14,3
"2011","E00016470","E00016470","Total",104,1,19,35,41,6,2
"2011","E00016473","E00016473","Total",126,0,9,46,50,10,11
"2011","E00016474","E00016474","Total",128,1,30,68,22,7,0
"2011","E00016477","E00016477","Total",134,0,45,37,45,5,2
"2011","E00016481","E00016481","Total",170,1,65,75,20,7,2
"2011","E00016126","E00016126","Total",126,0,1,14,90,17,4
"2011","E00016127","E00016127","Total",142,0,4,11,104,19,4
"2011","E00016131","E00016131","Total",137,1,31,39,60,5,1
"2011","E00016134","E00016134","Total",138,2,65,16,54,0,1
"2011","E00016140","E00016140","Total",123,0,45,34,43,0,1
"2011","E00016118","E00016118","Total",144,1,22,17,69,25,10
"2011","E00016154","E00016154","Total",153,0,53,88,11,0,1
"2011","E00016155","E00016155","Total",153,1,33,71,39,8,1
"2011","E00016156","E00016156","Total",141,0,53,48,40,0,0
"2011","E00016157","E00016157","Total",125,0,18,28,76,1,2
"2011","E00016112","E00016112","Total",142,0,46,46,31,16,3
"2011","E00016119","E00016119","Total",122,0,4,10,92,12,4
"2011","E00016121","E00016121","Total",126,1,36,54,29,5,1
"2011","E00016123","E00016123","Total",122,0,4,28,78,8,4
"2011","E00016158","E00016158","Total",125,0,7,44,67,6,1
"2011","E00016113","E00016113","Total",162,0,51,48,55,7,1
"2011","E00016120","E00016120","Total",110,0,13,22,74,1,0
"2011","E00016122","E00016122","Total",120,0,2,36,76,5,1
"2011","E00016124","E00016124","Total",112,1,7,35,64,4,1
"2011","E00016125","E00016125","Total",120,3,9,38,66,3,1
"2011","E00016114","E00016114","Total",106,0,14,21,69,2,0
"2011","E00016128","E00016128","Total",133,0,12,25,91,3,2
"2011","E00016130","E00016130","Total",132,1,26,31,69,5,0
"2011","E00016133","E00016133","Total",119,0,21,12,74,10,2
"2011","E00016135","E00016135","Total",135,0,47,24,61,3,0
"2011","E00016948","E00016948","Total",146,0,6,83,53,3,1
"2011","E00016949","E00016949","Total",130,0,2,68,56,2,2
"2011","E00016951","E00016951","Total",126,0,0,75,48,2,1
"2011","E00016955","E00016955","Total",128,0,12,64,50,2,0
"2011","E00016956","E00016956","Total",108,0,6,74,27,0,1
"2011","E00016950","E00016950","Total",110,1,0,4,88,15,2
"2011","E00016967","E00016967","Total",115,0,0,20,86,7,2
"2011","E00016968","E00016968","Total",118,1,5,10,89,10,3
"2011","E00016969","E00016969","Total",115,0,17,40,53,4,1
"2011","E00016971","E00016971","Total",113,0,18,7,82,5,1
"2011","E00016928","E00016928","Total",132,0,1,22,97,10,2
"2011","E00016947","E00016947","Total",141,0,3,131,7,0,0
"2011","E00016958","E00016958","Total",122,0,3,32,80,5,2
"2011","E00016963","E00016963","Total",124,0,9,14,93,6,2
"2011","E00016937","E00016937","Total",151,0,7,8,128,7,1
"2011","E00016959","E00016959","Total",108,0,1,14,74,17,2
"2011","E00016962","E00016962","Total",190,0,62,57,59,10,2
"2011","E00016965","E00016965","Total",142,1,58,23,55,4,1
"2011","E00016970","E00016970","Total",144,1,17,54,61,10,1
"2011","E00016934","E00016934","Total",126,1,5,21,94,4,1
"2011","E00016935","E00016935","Total",157,2,10,15,117,10,3
"2011","E00016936","E00016936","Total",125,0,4,6,98,13,4
"2011","E00016938","E00016938","Total",102,0,2,9,81,9,1
"2011","E00016939","E00016939","Total",122,0,14,20,81,4,3
"2011","E00016496","E00016496","Total",121,1,11,93,14,2,0
"2011","E00016517","E00016517","Total",97,0,8,38,48,3,0
"2011","E00016518","E00016518","Total",133,0,39,39,49,3,3
"2011","E00016523","E00016523","Total",120,2,49,33,22,8,6
"2011","E00016524","E00016524","Total",131,0,20,43,37,19,12
"2011","E00016525","E00016525","Total",126,0,42,23,48,9,4
"2011","E00016497","E00016497","Total",120,0,6,79,31,4,0
"2011","E00016527","E00016527","Total",103,1,7,79,13,0,3
"2011","E00016528","E00016528","Total",113,0,31,74,4,4,0
"2011","E00016531","E00016531","Total",127,0,2,18,100,5,2
"2011","E00016532","E00016532","Total",105,2,38,41,17,6,1
"2011","E00016535","E00016535","Total",112,0,33,50,23,2,4
"2011","E00016520","E00016520","Total",124,2,37,33,47,3,2
"2011","E00016522","E00016522","Total",146,0,70,45,29,2,0
"2011","E00016526","E00016526","Total",141,0,66,35,25,12,3
"2011","E00016529","E00016529","Total",115,0,14,52,43,4,2
"2011","E00016530","E00016530","Total",118,1,12,59,42,3,1
"2011","E00016533","E00016533","Total",113,0,6,17,78,8,4
"2011","E00016534","E00016534","Total",110,0,1,13,77,12,7
"2011","E00016536","E00016536","Total",115,1,0,10,98,3,3
"2011","E00016537","E00016537","Total",106,0,2,24,73,5,2
"2011","E00016538","E00016538","Total",121,0,3,34,76,6,2
"2011","E00016539","E00016539","Total",146,0,38,38,69,1,0
"2011","E00016830","E00016830","Total",139,0,8,31,73,22,5
"2011","E00016839","E00016839","Total",117,1,13,66,27,7,3
"2011","E00016845","E00016845","Total",136,1,26,49,35,20,5
"2011","E00016872","E00016872","Total",140,0,17,24,80,14,5
"2011","E00016873","E00016873","Total",134,0,24,81,23,6,0
"2011","E00016838","E00016838","Total",129,0,25,101,2,1,0
"2011","E00016840","E00016840","Total",126,0,5,25,55,28,13
"2011","E00016847","E00016847","Total",105,0,24,66,7,7,1
"2011","E00016852","E00016852","Total",87,1,20,19,20,18,9
"2011","E00016858","E00016858","Total",99,0,2,72,25,0,0
"2011","E00016874","E00016874","Total",116,3,51,43,15,4,0
"2011","E00016826","E00016826","Total",116,0,13,52,40,9,2
"2011","E00016831","E00016831","Total",112,2,31,9,61,9,0
"2011","E00016832","E00016832","Total",125,0,47,36,23,16,3
"2011","E00016833","E00016833","Total",121,0,3,2,57,50,9
"2011","E00016875","E00016875","Total",98,0,18,14,59,5,2
"2011","E00016828","E00016828","Total",114,0,15,70,23,4,2
"2011","E00016850","E00016850","Total",92,0,26,34,20,9,3
"2011","E00016854","E00016854","Total",120,0,20,39,47,13,1
"2011","E00016855","E00016855","Total",111,0,31,69,10,1,0
"2011","E00016857","E00016857","Total",126,1,45,46,24,7,3
"2011","E00016878","E00016878","Total",116,2,28,33,52,0,1
"2011","E00016827","E00016827","Total",134,1,35,63,27,6,2
"2011","E00016834","E00016834","Total",139,0,39,36,56,4,4
"2011","E00016842","E00016842","Total",100,1,23,33,17,22,4
"2011","E00016856","E00016856","Total",188,2,100,66,17,2,1
"2011","E00016876","E00016876","Total",106,0,45,28,32,0,1
"2011","E00016877","E00016877","Total",111,1,36,71,3,0,0
"2011","E00016115","E00016115","Total",125,0,43,16,59,6,1
"2011","E00016136","E00016136","Total",119,0,12,31,74,2,0
"2011","E00016137","E00016137","Total",129,1,10,17,94,5,2
"2011","E00016138","E00016138","Total",122,1,19,77,23,1,1
"2011","E00016139","E00016139","Total",129,0,38,12,77,2,0
"2011","E00016116","E00016116","Total",134,2,7,40,81,3,1
"2011","E00016129","E00016129","Total",141,2,22,96,17,3,1
"2011","E00016142","E00016142","Total",140,1,29,64,36,9,1
"2011","E00016144","E00016144","Total",119,0,36,68,11,3,1
"2011","E00016145","E00016145","Total",137,1,32,93,10,1,0
"2011","E00016150","E00016150","Total",138,0,35,91,11,1,0
"2011","E00016117","E00016117","Total",147,1,11,105,29,1,0
"2011","E00016132","E00016132","Total",127,2,8,93,20,3,1
"2011","E00016143","E00016143","Total",113,0,4,18,86,4,1
"2011","E00016147","E00016147","Total",153,0,47,70,33,3,0
"2011","E00016153","E00016153","Total",125,1,20,73,28,3,0
"2011","E00016141","E00016141","Total",118,0,27,28,60,1,2
"2011","E00016146","E00016146","Total",127,0,44,23,54,6,0
"2011","E00016148","E00016148","Total",127,0,36,33,55,2,1
"2011","E00016149","E00016149","Total",132,1,56,63,8,4,0
"2011","E00016151","E00016151","Total",112,0,22,48,35,7,0
"2011","E00016152","E00016152","Total",125,1,61,56,4,3,0
"2011","E00016843","E00016843","Total",106,0,9,59,30,3,5
"2011","E00016863","E00016863","Total",146,0,48,54,27,9,8
"2011","E00016868","E00016868","Total",128,0,56,41,27,3,1
"2011","E00016870","E00016870","Total",139,1,28,40,45,19,6
"2011","E00016871","E00016871","Total",119,1,22,31,53,8,4
"2011","E00016848","E00016848","Total",98,2,14,9,33,25,15
"2011","E00016859","E00016859","Total",146,0,14,32,60,31,9
"2011","E00016861","E00016861","Total",181,1,37,79,45,9,10
"2011","E00016862","E00016862","Total",141,0,29,48,42,13,9
"2011","E00016866","E00016866","Total",148,0,29,43,58,12,6
"2011","E00016829","E00016829","Total",135,0,57,66,10,1,1
"2011","E00016851","E00016851","Total",134,0,9,37,48,30,10
"2011","E00016860","E00016860","Total",155,0,65,45,22,17,6
"2011","E00016864","E00016864","Total",154,2,37,87,22,3,3
"2011","E00016867","E00016867","Total",132,0,34,57,30,10,1
"2011","E00016869","E00016869","Total",123,2,68,34,19,0,0
"2011","E00016835","E00016835","Total",151,0,50,63,20,14,4
"2011","E00016837","E00016837","Total",125,0,19,65,39,2,0
"2011","E00016846","E00016846","Total",140,0,39,50,43,6,2
"2011","E00016849","E00016849","Total",102,0,49,31,19,3,0
"2011","E00016865","E00016865","Total",139,0,22,13,85,16,3
"2011","E00016825","E00016825","Total",113,0,33,37,37,5,1
"2011","E00016836","E00016836","Total",124,0,12,16,50,18,28
"2011","E00016841","E00016841","Total",130,0,23,55,37,13,2
"2011","E00016844","E00016844","Total",111,1,16,35,20,33,6
"2011","E00016853","E00016853","Total",116,2,37,52,18,7,0
"2011","E00016350","E00016350","Total",133,0,2,81,44,5,1
"2011","E00016369","E00016369","Total",132,0,6,78,47,1,0
"2011","E00016370","E00016370","Total",144,1,16,84,41,2,0
"2011","E00016371","E00016371","Total",119,0,7,87,22,2,1
"2011","E00016374","E00016374","Total",120,1,12,65,42,0,0
"2011","E00016352","E00016352","Total",110,0,11,47,48,2,2
"2011","E00016373","E00016373","Total",123,0,6,41,68,8,0
"2011","E00016378","E00016378","Total",125,0,17,62,45,1,0
"2011","E00016381","E00016381","Total",143,0,9,84,45,4,1
"2011","E00016382","E00016382","Total",107,0,7,53,41,5,1
"2011","E00016348","E00016348","Total",91,0,3,68,17,2,1
"2011","E00016372","E00016372","Total",118,1,2,78,35,2,0
"2011","E00016375","E00016375","Total",105,0,15,52,36,1,1
"2011","E00016377","E00016377","Total",120,0,11,71,33,2,3
"2011","E00016379","E00016379","Total",131,1,10,70,47,2,1
"2011","E00016349","E00016349","Total",125,0,5,86,30,4,0
"2011","E00016351","E00016351","Total",196,0,26,94,70,5,1
"2011","E00016376","E00016376","Total",111,1,7,57,40,4,2
"2011","E00016383","E00016383","Total",132,0,6,66,56,4,0
"2011","E00016356","E00016356","Total",136,0,1,86,48,1,0
"2011","E00016387","E00016387","Total",146,0,25,46,71,4,0
"2011","E00016393","E00016393","Total",118,0,0,73,44,1,0
"2011","E00165790","E00165790","Total",108,0,3,80,25,0,0
"2011","E00016361","E00016361","Total",104,1,38,19,30,10,6
"2011","E00016363","E00016363","Total",139,0,15,41,78,5,0
"2011","E00016366","E00016366","Total",99,0,2,13,54,25,5
"2011","E00016367","E00016367","Total",81,0,18,15,44,3,1
"2011","E00016368","E00016368","Total",100,0,3,9,35,49,4
"2011","E00016353","E00016353","Total",117,0,1,79,34,3,0
"2011","E00016360","E00016360","Total",194,0,28,107,58,1,0
"2011","E00016380","E00016380","Total",100,1,4,61,30,2,2
"2011","E00016389","E00016389","Total",110,0,1,65,42,2,0
"2011","E00016390","E00016390","Total",85,0,1,30,48,6,0
"2011","E00016392","E00016392","Total",119,0,29,59,29,2,0
"2011","E00016359","E00016359","Total",120,0,26,7,79,6,2
"2011","E00016384","E00016384","Total",121,0,7,17,84,7,6
"2011","E00016385","E00016385","Total",177,0,76,37,49,12,3
"2011","E00016386","E00016386","Total",145,0,117,10,18,0,0
"2011","E00016388","E00016388","Total",132,1,4,27,88,10,2
"2011","E00016346","E00016346","Total",106,0,1,64,38,2,1
"2011","E00016354","E00016354","Total",104,0,35,36,31,2,0
"2011","E00016357","E00016357","Total",131,2,21,49,46,12,1
"2011","E00016358","E00016358","Total",122,0,35,41,43,2,1
"2011","E00016391","E00016391","Total",118,0,3,8,93,13,1
"2011","E00016362","E00016362","Total",131,0,3,61,61,5,1
"2011","E00016364","E00016364","Total",126,0,12,82,28,3,1
"2011","E00016365","E00016365","Total",109,0,37,52,16,2,2
"2011","E00016394","E00016394","Total",120,0,1,70,46,2,1
"2011","E00165789","E00165789","Total",158,1,100,29,24,3,1
"2011","E00016678","E00016678","Total",105,0,13,68,21,3,0
"2011","E00016722","E00016722","Total",150,0,27,105,16,0,2
"2011","E00016724","E00016724","Total",110,1,37,40,21,4,7
"2011","E00016727","E00016727","Total",110,1,7,28,59,10,5
"2011","E00016676","E00016676","Total",96,1,12,24,48,10,1
"2011","E00016685","E00016685","Total",127,3,36,30,53,3,2
"2011","E00016690","E00016690","Total",128,0,34,55,35,3,1
"2011","E00016691","E00016691","Total",108,0,12,57,24,11,4
"2011","E00016726","E00016726","Total",102,1,63,27,10,0,1
"2011","E00016688","E00016688","Total",107,0,4,11,77,15,0
"2011","E00016695","E00016695","Total",108,0,22,16,51,18,1
"2011","E00016705","E00016705","Total",124,1,53,51,17,1,1
"2011","E00016710","E00016710","Total",124,0,31,54,33,4,2
"2011","E00016712","E00016712","Total",97,1,26,40,23,2,5
"2011","E00016682","E00016682","Total",129,2,80,25,17,4,1
"2011","E00016686","E00016686","Total",133,1,20,37,66,7,2
"2011","E00016699","E00016699","Total",126,1,40,52,33,0,0
"2011","E00016702","E00016702","Total",186,3,121,27,19,0,16
"2011","E00016707","E00016707","Total",183,2,61,70,45,3,2
"2011","E00016711","E00016711","Total",146,2,69,63,9,3,0
"2011","E00016696","E00016696","Total",104,0,29,43,28,4,0
"2011","E00016698","E00016698","Total",160,1,74,56,20,9,0
"2011","E00016703","E00016703","Total",112,0,28,51,26,7,0
"2011","E00016713","E00016713","Total",223,0,143,67,10,2,1
"2011","E00165804","E00165804","Total",112,1,26,56,27,1,1
"2011","E00017907","E00017907","Total",126,1,12,25,60,18,10
"2011","E00017908","E00017908","Total",113,0,12,21,45,19,16
